SIZE,TRAIN-LOSS,VAL-LOSS,TRAIN-ACCURACY,VAL-ACCURACY
256,0.2567374682882395,0.25777399655442834,0.9219817731587914,0.9159144893111639
512,0.25209450275981415,0.25592784889291487,0.9203420030347103,0.9159144893111639
1024,0.25122833400994604,0.25578165618210214,0.9140870218964383,0.9162945368171022
2048,0.25253202274922304,0.25758010971057016,0.9134564214296,0.915249406175772
4096,0.2521617037673203,0.25593468442695116,0.9177373844254655,0.9161995249406176
8192,0.25351916989540557,0.25640163996389936,0.91809019904258,0.9164845605700712
