SIZE,TRAIN-LOSS,VAL-LOSS,TRAIN-ACCURACY,VAL-ACCURACY
256,0.33018894956468153,0.3411557558646872,0.8804028368794327,0.8730842087136215
512,0.3304287597480228,0.34072857122283334,0.8786511881255532,0.8734286206302738
1024,0.3310012026506327,0.33952501999116796,0.8811580348912635,0.8736869295677631
2048,0.3321458180523723,0.3402975771996929,0.8782253078541812,0.8740313414844154
4096,0.33297576397381146,0.33888581296629156,0.8808919043316684,0.8739452385052523
8192,0.33071188109680116,0.33881756018836967,0.8802672352523099,0.8736008265885999
