SIZE,TRAIN-LOSS,VAL-LOSS,TRAIN-ACCURACY,VAL-ACCURACY
256,0.36101548911632203,0.3594672448506439,0.8761012278546816,0.8747499827574315
512,0.3593174719565404,0.35835555757063603,0.8728522808365812,0.8748879233050555
1024,0.3603998989782483,0.358776171958394,0.8766227185199518,0.8746810124836195
2048,0.35736095248318106,0.3581695885844693,0.8740521435784449,0.8757155665907994
4096,0.3588313601870516,0.3588491283061746,0.8740839838542097,0.8750948341264915
8192,0.3580061676106176,0.358765091500881,0.8732522294396124,0.8748879233050555
