SIZE,TRAIN-LOSS,VAL-LOSS,TRAIN-ACCURACY,VAL-ACCURACY
256,0.3597104719577162,0.3608582544457781,0.8755625355889862,0.8735908715974704
512,0.35702733959518657,0.35873889040488466,0.8749586640211641,0.8747594171020071
1024,0.3587233175058259,0.35754554271697997,0.8762054046126205,0.8748968930437173
2048,0.3586536577775307,0.35828452070990763,0.8739117877625119,0.8747594171020071
4096,0.35610800072860943,0.3605527649868976,0.8742990654205608,0.8742095133351664
8192,0.3577304083596855,0.35890252539417244,0.8736749806038737,0.8744157272477316
