SIZE,TRAIN-LOSS,VAL-LOSS,TRAIN-ACCURACY,VAL-ACCURACY
256,0.25184057591611975,0.26158992241363266,0.9179820255267729,0.915976665412119
512,0.2561633399316638,0.2608653845282288,0.9166572437274635,0.9158825743319533
1024,0.24905508140324467,0.26119144675923184,0.9196165330818796,0.915976665412119
2048,0.2502389237133006,0.2626934185310885,0.918869018362383,0.9156943921716222
4096,0.2562801358034118,0.26065872913903304,0.9162371295634398,0.9161648475724501
8192,0.2551453598062294,0.26066144108324796,0.9212098202986586,0.9161648475724501
