SIZE,TRAIN-LOSS,VAL-LOSS,TRAIN-ACCURACY,VAL-ACCURACY
256,0.3358998786145618,0.3309088503661221,0.8805749421246921,0.8814649626897676
512,0.3300945591576531,0.32936860608727964,0.8790892451365395,0.8815507333390514
1024,0.33396036633981563,0.3309375190979814,0.8838927555113656,0.882151127884038
2048,0.3309148338845621,0.32886618398232004,0.8805109821326961,0.882151127884038
4096,0.3292984997930695,0.3289017203735979,0.8825171637751759,0.8820653572347543
8192,0.3290285273172418,0.33002721569309496,0.8794655294953803,0.8824942104811734
