PROBS,CODEDIST-5,CODEDIST-7,CODEDIST-9
0.0001,0.19875,0.144375,0.1034375
0.0035448275862068964,0.299375,0.3390625,0.361875
0.006989655172413793,0.37875,0.4353125,0.4353125
0.010434482758620689,0.4209375,0.4565625,0.4803125
0.013879310344827585,0.45625,0.4978125,0.48625
0.017324137931034482,0.4884375,0.4953125,0.508125
0.02076896551724138,0.4925,0.496875,0.51375
0.024213793103448275,0.4871875,0.5065625,0.50375
0.02765862068965517,0.505625,0.5065625,0.515
0.031103448275862068,0.5015625,0.5,0.5075
0.03454827586206897,0.49375,0.50625,0.493125
0.03799310344827586,0.5046875,0.5115625,0.5125
0.04143793103448276,0.4834375,0.4971875,0.5009375
0.04488275862068966,0.519375,0.5,0.49875
0.048327586206896554,0.5,0.5271875,0.515
0.05177241379310345,0.4978125,0.4909375,0.4934375
0.05521724137931035,0.5,0.4971875,0.503125
0.05866206896551725,0.5009375,0.5040625,0.4840625
0.06210689655172414,0.495,0.493125,0.5078125
0.06555172413793103,0.505,0.5,0.4965625
0.06899655172413793,0.4890625,0.49875,0.49625
0.07244137931034483,0.4915625,0.4934375,0.4946875
0.07588620689655172,0.4978125,0.48875,0.510625
0.07933103448275862,0.5071875,0.4953125,0.505625
0.08277586206896552,0.4978125,0.4996875,0.493125
0.08622068965517242,0.5221875,0.5053125,0.4953125
0.08966551724137932,0.4928125,0.494375,0.499375
0.0931103448275862,0.510625,0.5125,0.48375
0.0965551724137931,0.5071875,0.498125,0.5009375
0.1,0.511875,0.494375,0.496875
