PROBS,CODEDIST-5,CODEDIST-7,CODEDIST-9
0.0001,0.1990625,0.2015625,0.13
0.0035448275862068964,0.305,0.348125,0.360625
0.006989655172413793,0.3740625,0.43375,0.4540625
0.010434482758620689,0.42125,0.458125,0.4728125
0.013879310344827585,0.4434375,0.47625,0.48125
0.017324137931034482,0.465,0.4778125,0.5153125
0.02076896551724138,0.4871875,0.4884375,0.5078125
0.024213793103448275,0.4865625,0.503125,0.5025
0.02765862068965517,0.501875,0.5,0.5053125
0.031103448275862068,0.50375,0.513125,0.5025
0.03454827586206897,0.491875,0.4975,0.4990625
0.03799310344827586,0.4996875,0.503125,0.4909375
0.04143793103448276,0.5171875,0.4990625,0.520625
0.04488275862068966,0.5096875,0.5021875,0.5071875
0.048327586206896554,0.5065625,0.501875,0.5053125
0.05177241379310345,0.48875,0.5009375,0.518125
0.05521724137931035,0.5059375,0.4884375,0.5025
0.05866206896551725,0.48125,0.4875,0.5040625
0.06210689655172414,0.5028125,0.489375,0.4959375
0.06555172413793103,0.48625,0.5021875,0.4825
0.06899655172413793,0.501875,0.4975,0.5065625
0.07244137931034483,0.499375,0.495625,0.5046875
0.07588620689655172,0.5046875,0.5078125,0.4978125
0.07933103448275862,0.4975,0.499375,0.4921875
0.08277586206896552,0.5,0.5084375,0.4846875
0.08622068965517242,0.5009375,0.5084375,0.4975
0.08966551724137932,0.495,0.4834375,0.513125
0.0931103448275862,0.505625,0.5109375,0.5284375
0.0965551724137931,0.513125,0.4846875,0.5040625
0.1,0.50375,0.4934375,0.4896875
